118,118,118,118,117,108,118,118,108,108,117,118,118,118,116,118,121,118,118,118,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,0
12,11,11,13,12,13,10,10,12,13,12,11,11,11,12,10,12,11,12,10,1
17,11,10,10,11,12,17,11,12,12,11,12,11,12,12,11,11,11,17,11,1
18,18,11,11,11,12,17,18,12,12,12,18,11,12,11,18,11,11,17,17,1
8,9,8,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,9,0
8,9,8,7,8,10,9,9,11,11,7,9,8,8,8,10,9,8,9,10,1
8,0,0,1,1,1,8,0,1,1,1,0,0,0,0,0,0,0,8,0,1
27,36,23,21,20,25,27,36,25,24,21,36,23,22,20,36,21,22,28,36,1
11,11,9,8,9,9,11,10,10,9,9,10,9,9,9,10,8,9,11,10,0
19,19,19,19,18,22,19,19,23,22,18,19,19,19,18,19,12,19,19,19,1
13,13,7,16,16,17,13,13,7,7,16,13,6,7,6,13,6,7,13,13,1
7,8,8,8,8,9,7,8,10,10,8,8,8,8,8,8,8,8,7,8,1
21,17,17,16,17,17,20,17,17,17,17,17,17,17,17,17,17,17,19,17,0
5,5,5,5,5,6,5,5,6,6,5,5,5,5,5,5,5,5,5,5,0
35,35,35,22,21,23,35,35,23,23,21,35,34,33,21,35,21,33,35,35,1
